Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,12938067,0,0.00,0,0.00,9.37,12710128,227939
VXX,6133353,0,0.00,0,0.00,15.72,5947736,185617
VIXY,1142942,0,0.00,0,0.00,12.92,1131629,11313
ARKG,1081813,0,0.00,0,0.00,112.70,1070692,11121
SVXY,916423,0,0.00,0,0.00,41.29,899775,16648
RSX,769692,0,0.00,0,0.00,25.38,745608,24084
ITB,446395,0,0.00,0,0.00,64.32,421183,25212
IEFA,415802,0,0.00,0,0.00,72.45,378055,37747
ARKQ,341251,0,0.00,0,0.00,100.10,339834,1417
GOVT,303184,0,0.00,0,0.00,26.89,301598,1586
CBOE,285774,0,0.00,0,0.00,89.93,284660,1114
INDA,280485,0,0.00,0,0.00,43.01,275885,4600
USMV,255298,0,0.00,0,0.00,68.03,251845,3453
REM,224297,0,0.00,0,0.00,33.39,188607,35690
EZU,195563,0,0.00,0,0.00,45.76,176680,18883
VLUE,186135,0,0.00,0,0.00,96.40,185578,557
EFV,177180,0,0.00,0,0.00,49.56,158397,18783
BBJP,119132,0,0.00,0,0.00,29.69,118232,900
PRNT,116372,0,0.00,0,0.00,48.09,115657,715
IGV,115773,0,0.00,0,0.00,385.88,115383,390
QUAL,107157,0,0.00,0,0.00,119.80,106248,909
MTUM,101963,0,0.00,0,0.00,178.00,100633,1330
BBAX,101818,0,0.00,0,0.00,28.81,101218,600
EFAV,101576,0,0.00,0,0.00,74.66,98499,3077
NOBL,99545,0,0.00,0,0.00,81.81,98063,1482
IZRL,86319,0,0.00,0,0.00,38.20,85691,628
USHY,80244,0,0.00,0,0.00,41.58,79826,418
IDV,69169,0,0.00,0,0.00,30.82,68898,271
JPST,58798,0,0.00,0,0.00,50.81,58798,0
PICK,57674,0,0.00,0,0.00,39.97,57174,500
ESGV,56968,0,0.00,0,0.00,74.47,56870,98
PAVE,56587,0,0.00,0,0.00,22.63,54331,2256
MOAT,48231,0,0.00,0,0.00,66.59,48231,0
EEMV,45882,0,0.00,0,0.00,65.04,45132,750
HEFA,45243,0,0.00,0,0.00,32.05,43343,1900
BBEU,44425,0,0.00,0,0.00,27.20,36126,8299
EMHY,42876,0,0.00,0,0.00,45.94,41603,1273
IFRA,40915,0,0.00,0,0.00,31.82,40915,0
TAIL,36921,0,0.00,0,0.00,20.00,35621,1300
VNM,36148,0,0.00,0,0.00,18.09,36138,10
ACWV,35852,0,0.00,0,0.00,97.86,33488,2364
IYT,35672,0,0.00,0,0.00,232.02,35230,442
IGE,35050,0,0.00,0,0.00,25.97,34349,701
ITA,32699,0,0.00,0,0.00,97.91,31775,924
JMST,31313,0,0.00,0,0.00,51.08,31017,296
ECH,31275,0,0.00,0,0.00,32.42,31275,0
HYD,30997,0,0.00,0,0.00,62.92,30054,943
IEO,30673,0,0.00,0,0.00,43.88,30673,0
CNYA,30467,0,0.00,0,0.00,48.75,30467,0
BUFD,30000,0,0.00,0,0.00,20.18,30000,0
PTLC,29897,0,0.00,0,0.00,34.33,29897,0
EFG,29782,0,0.00,0,0.00,105.00,27482,2300
SLVP,29578,0,0.00,0,0.00,16.44,29339,239
FLOT,28931,0,0.00,0,0.00,50.81,28931,0
FGRO,26616,0,0.00,0,0.00,20.99,26416,200
ICSH,25313,0,0.00,0,0.00,50.55,25313,0
OGIG,25047,0,0.00,0,0.00,63.68,24744,303
HYDB,25027,0,0.00,0,0.00,51.69,122,24905
BBCA,24598,0,0.00,0,0.00,28.61,24272,326
FBCG,23540,0,0.00,0,0.00,31.70,23540,0
ICF,21924,0,0.00,0,0.00,56.20,21909,15
ACES,17395,0,0.00,0,0.00,98.00,15982,1413
IAGG,16997,0,0.00,0,0.00,55.51,14066,2931
IYZ,16996,0,0.00,0,0.00,31.91,16396,600
ICVT,16046,0,0.00,0,0.00,110.08,14846,1200
NEAR,16031,0,0.00,0,0.00,50.22,16031,0
TDV,15669,0,0.00,0,0.00,56.24,15669,0
POCT,15510,0,0.00,0,0.00,28.09,15510,0
PTMC,15161,0,0.00,0,0.00,34.32,15161,0
VSGX,15060,0,0.00,0,0.00,63.55,15060,0
TMFC,13935,0,0.00,0,0.00,37.50,13435,500
BBUS,13721,0,0.00,0,0.00,72.63,12821,900
IQDG,13464,0,0.00,0,0.00,38.09,13164,300
CEMB,12459,0,0.00,0,0.00,52.94,12459,0
TOKE,12338,0,0.00,0,0.00,22.68,12316,22
JPIB,12191,0,0.00,0,0.00,51.98,12191,0
PAWZ,12020,0,0.00,0,0.00,79.60,11063,957
DRSK,11491,0,0.00,0,0.00,29.72,11491,0
FFEB,11426,0,0.00,0,0.00,33.68,11426,0
NUSC,11296,0,0.00,0,0.00,43.51,11296,0
WUGI,10525,0,0.00,0,0.00,61.15,10525,0
PAPR,10487,0,0.00,0,0.00,27.41,10487,0
VIXM,10362,0,0.00,0,0.00,41.13,10362,0
BBIN,10268,0,0.00,0,0.00,57.89,10268,0
EFAD,10235,0,0.00,0,0.00,44.57,9860,375
EPRF,9713,0,0.00,0,0.00,24.11,9707,6
EWUS,9639,0,0.00,0,0.00,44.48,9639,0
BOSS,9319,0,0.00,0,0.00,34.28,9319,0
IYLD,9047,0,0.00,0,0.00,23.85,9047,0
OUSA,8962,0,0.00,0,0.00,38.41,8961,1
DTEC,8860,0,0.00,0,0.00,50.94,8860,0
CBTG,8838,0,0.00,0,0.00,30.51,8738,100
NULV,8778,0,0.00,0,0.00,33.87,8778,0
GSEW,8713,0,0.00,0,0.00,61.30,8713,0
IYJ,7959,0,0.00,0,0.00,101.25,7959,0
EMGF,7925,0,0.00,0,0.00,53.91,7925,0
NULG,7654,0,0.00,0,0.00,61.18,7654,0
EDEN,7598,0,0.00,0,0.00,99.77,7598,0
SMDV,7458,0,0.00,0,0.00,61.56,7058,400
XMPT,6885,0,0.00,0,0.00,29.09,6885,0
PJAN,5995,0,0.00,0,0.00,31.13,5995,0
IPFF,5484,0,0.00,0,0.00,16.34,3583,1901
MLN,5426,0,0.00,0,0.00,21.99,5426,0
